time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.6,-33.776,-128.864,17.4395,-26.8959,4.00809,-1.31866,-25.7713,-60.978,-59.9329,-91.093,68.6679,70.7564,1.37164,-11.7713,60.9984,68.8136,-50.0358,-77.5812,
3.605,-33.7887,-126.574,17.0589,-25.5304,4.04671,-0.595073,-25.7329,-61.4692,-60.5546,-92.4019,68.3107,68.4977,1.44469,-11.7344,61.1437,68.5313,-50.0147,-77.6313,
3.61,-52.0017,-124.033,18.8604,-28.1702,6.44678,0.7597,-29.7091,-56.9392,-80.808,-91.4208,49.942,69.3835,3.20545,-12.2418,58.9005,66.5789,-53.8368,-76.7662,
3.615,-58.8031,-120.891,20.9635,-24.4116,7.13492,1.06277,-27.9212,-56.5271,-81.0067,-91.3223,62.257,65.1219,4.61141,-12.4969,58.2142,64.6874,-51.4046,-75.6729,
3.62,-64.0499,-116.73,21.573,-22.1179,7.62831,0.985695,-30.1352,-55.2077,-91.5846,-93.3588,48.3849,66.7276,4.24215,-13.2714,56.8001,64.1441,-52.3766,-74.603,
3.625,-68.228,-112.895,22.3578,-19.1299,7.95941,1.52337,-31.9246,-52.5207,-91.8396,-93.5047,57.7493,63.611,5.16381,-13.2535,57.1391,62.0933,-53.6287,-73.2573,
3.63,-72.0622,-111.238,23.0154,-14.5795,8.23199,2.15994,-32.9671,-51.4998,-98.1314,-95.6971,52.1612,59.5906,5.05602,-13.5899,58.171,60.9819,-54.9638,-71.9213,
3.635,-75.662,-108.824,23.6077,-9.50835,8.46184,2.56768,-33.4456,-50.4004,-101.904,-97.7747,52.699,56.0914,5.26779,-13.9667,59.4538,59.5563,-56.2075,-70.4387,
3.64,-79.0687,-102.76,24.1162,-7.17479,8.65562,2.11681,-33.496,-46.6736,-106.295,-99.8121,51.6406,52.9066,5.34484,-13.5983,60.8096,58.379,-57.2757,-69.5464,
3.645,-82.2829,-98.9857,24.5068,-1.48326,8.83381,1.54714,-33.2792,-46.4248,-110.669,-103.032,50.5478,53.7433,5.40552,-14.6735,62.1798,58.3233,-58.1921,-69.1871,
3.65,-85.283,-95.5909,24.7588,1.68611,8.99609,1.69425,-32.9155,-43.6803,-114.808,-104.483,49.9747,47.1572,5.47889,-14.2183,63.5657,56.2237,-59.0477,-67.2682,
3.655,-88.0741,-92.9766,24.8663,5.64804,9.16012,1.23583,-32.4665,-43.0697,-118.814,-107.708,49.6971,46.2571,5.57122,-14.518,64.9322,56.0511,-59.8417,-67.2005,
3.66,-90.6238,-91.8743,24.8468,9.59641,9.29341,1.70563,-31.9958,-41.7851,-122.732,-109.048,49.5717,41.8156,5.70849,-14.7023,66.2729,54.41,-60.6101,-65.8394,
3.665,-92.9555,-90.8472,24.6974,13.9085,9.45765,1.27763,-31.5463,-40.7073,-126.558,-111.303,49.5281,34.6762,5.90691,-13.4119,67.604,52.8786,-61.4385,-64.6192,
3.67,-95.0113,-89.8369,24.4555,14.446,9.57106,2.04592,-31.1356,-37.0374,-130.175,-111.297,49.8456,29.0134,6.17378,-13.7671,68.8986,50.4365,-62.3219,-63.448,
3.675,-96.8223,-93.0001,24.1016,21.2165,9.7101,1.81204,-30.7765,-37.674,-133.631,-112.463,50.2944,25.3137,6.45357,-13.996,70.1507,48.4415,-63.2916,-61.6788,
3.68,-98.3589,-92.9508,23.668,22.4966,9.82538,1.54683,-30.4676,-37.3156,-136.884,-117.829,50.91,27.3585,6.7008,-14.4308,71.3471,49.5857,-64.3875,-62.2865,
3.685,-99.6233,-94.9962,23.1949,24.6107,9.92727,1.6998,-30.2416,-36.3274,-139.975,-120.486,51.4043,26.5935,6.94193,-14.571,72.4945,48.4366,-65.6281,-60.7312,
3.69,-100.6,-97.303,22.7216,24.8324,9.99683,2.69206,-30.0788,-36.2716,-142.898,-126.568,51.8007,28.4691,7.25075,-14.8672,73.5712,49.0903,-67.0201,-60.5515,
3.695,-101.403,-96.108,22.1851,22.5088,10.0901,2.2455,-29.9948,-35.1438,-145.618,-129.387,52.137,26.6639,7.59748,-14.908,74.5571,48.9101,-68.5601,-60.7978,
3.7,-101.999,-98.297,21.6121,21.3288,10.1893,3.69275,-29.9655,-33.8734,-148.121,-130.313,52.4421,29.557,7.97669,-15.3245,75.4836,46.26,-70.2727,-58.4688,
3.705,-102.377,-101.506,21.017,20.3074,10.2863,5.19075,-29.8009,-34.1697,-150.381,-133.864,52.7138,32.6682,8.37793,-15.5847,76.2458,45.8861,-72.1504,-58.8129,
3.71,-102.583,-97.3154,20.4338,19.6388,10.3761,3.21422,-29.6711,-32.724,-152.38,-135.884,52.9478,34.0287,8.79069,-15.6243,77.1301,43.9022,-74.1839,-57.7008,
3.715,-102.631,-97.3391,19.8645,18.1507,10.4562,3.90755,-29.7011,-32.6689,-154.172,-136.181,53.0785,34.0057,9.2246,-15.4479,77.263,41.4597,-76.3944,-56.8637,
3.72,-102.524,-96.9015,19.2773,15.6494,10.5329,4.29664,-29.8419,-32.0978,-155.56,-140.667,51.7012,38.0832,9.7332,-15.387,78.2483,40.8187,-78.7352,-56.7093,
3.725,-101.838,-98.8274,18.6228,16.2389,10.6206,4.35102,-30.0614,-31.2766,-156.979,-142.563,54.1701,39.5537,10.0598,-15.0588,78.6981,38.8194,-81.2092,-55.8174,
3.73,-101.969,-101.074,18.1469,16.2746,10.6622,4.82965,-30.3397,-30.0206,-158.256,-143.274,53.5709,39.6399,10.5269,-14.608,79.0403,36.2828,-83.822,-55.4087,
3.735,-101.537,-105.262,17.5939,16.9667,10.7188,5.06022,-30.6657,-31.5711,-159.139,-145.377,53.7635,42.3919,10.9812,-14.1946,79.2007,33.8221,-86.5352,-54.7501,
3.74,-100.99,-108.563,17.0349,15.5548,10.7746,5.25168,-31.0278,-31.1721,-159.749,-147.474,54.162,42.2181,11.42,-13.3277,79.6371,31.4353,-89.3545,-53.9787,
3.745,-100.347,-112.793,16.4678,14.2423,10.8312,5.85632,-31.4195,-30.5722,-160.204,-148.533,54.4228,47.9436,11.872,-14.5335,79.5566,28.7233,-92.2336,-53.6833,
3.75,-99.6648,-117.824,15.896,15.1805,10.8893,5.36301,-31.8263,-31.063,-160.604,-152.248,54.5986,55.2968,12.3344,-15.6431,79.5727,27.8378,-95.159,-54.2375,
3.755,-99.0226,-123.332,15.3243,12.9177,10.9487,7.92076,-32.2461,-32.6183,-161.035,-153.118,54.7379,54.3396,12.8042,-14.4886,79.5018,23.7558,-98.0867,-54.4731,
3.76,-98.4637,-124.745,14.7533,12.5442,11.0103,7.28714,-32.6708,-31.0181,-161.541,-153.644,54.8693,55.3078,13.2789,-14.3528,79.6171,19.0237,-101.002,-53.3236,
3.765,-98.0047,-129.695,14.1801,11.4129,11.0759,8.05697,-33.0941,-31.3701,-162.139,-157.846,55.0071,59.2086,13.7559,-14.6272,79.9236,17.2233,-103.894,-54.5694,
3.77,-97.646,-131.428,13.6017,8.08565,11.1477,8.87723,-33.5132,-32.1981,-162.846,-160.946,55.1438,59.9645,14.2383,-15.1737,80.356,14.5382,-106.715,-54.3122,
3.775,-97.382,-134.367,13.0149,6.91041,11.2281,9.77083,-33.925,-31.2146,-163.665,-164.539,55.2812,62.5625,14.7238,-14.4097,80.893,11.2189,-109.445,-54.6353,
3.78,-97.2037,-136.788,12.418,5.34046,11.3192,10.411,-34.3258,-29.8422,-164.595,-166.508,55.4192,63.3172,15.2042,-14.8937,81.5336,7.3788,-112.066,-54.4275,
3.785,-97.1013,-140.661,11.81,5.31875,11.4226,11.214,-34.7149,-30.5204,-165.635,-172.464,55.5532,70.0161,15.6746,-16.3462,82.2405,6.43987,-114.468,-55.9515,
3.79,-97.0649,-141.839,11.1906,4.61397,11.5391,11.2376,-35.0908,-29.3229,-166.79,-173.995,55.6778,63.3091,16.1476,-14.2884,82.8048,1.38737,-116.223,-53.9791,
3.795,-97.0842,-143.042,10.5609,7.41262,11.6693,10.0675,-35.4519,-29.4243,-168.05,-179.952,55.7902,63.3022,16.6173,-13.1223,83.5341,0.500425,-118.014,-54.8928,
